-0.000000,0.000000
-0.000000,0.000000
0.001970,0.000456
0.078613,0.141193
0.078613,0.141193
0.078613,0.141193
0.078613,0.141193
0.078613,0.141193
0.078613,0.141193
0.081303,0.156921
0.117665,0.555123
0.159231,0.956186
0.257571,1.345548
0.479938,1.679493
0.775554,1.953146
1.109651,2.178394
1.492996,2.291722
1.525757,2.324363
1.524996,2.322081
1.671723,2.180529
1.909864,1.958733
2.282083,1.810450
2.677711,1.732648
3.065518,1.622767
3.407455,1.510892
3.588328,1.339502
3.693260,1.082347
3.783630,0.766103
3.870293,0.377115
3.927394,0.034129
