0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001170,0.000000,0.000027
0.001195,0.000010,0.049170
0.001965,0.000161,0.208279
0.004941,0.001112,0.368013
0.011624,0.004428,0.527767
0.022090,0.011822,0.687514
0.036347,0.025748,0.847808
0.052244,0.047146,1.007908
0.067857,0.076824,1.155505
0.081232,0.112663,1.262761
0.087990,0.134601,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088538,0.136390,1.273583
0.088667,0.136814,1.277154
0.092837,0.153709,1.360602
0.100127,0.192691,1.402422
0.106931,0.234635,1.414703
0.113487,0.276626,1.415968
0.120102,0.318608,1.412717
0.126891,0.360563,1.407786
0.133906,0.402480,1.402079
0.141175,0.444353,1.395725
0.148718,0.486178,1.388883
0.156559,0.527949,1.381563
